ORIG_PRODUCT_DESCRIPTION,PRICE,Num_of_Items
Lg Stw Malt,4.59,204
Md IceCoff C,2.49,204
Sm Stw Malt,2.99,204
Hi C Punch,0.1,202
MnChiliChz F,1.59,202
Jr Burger,1.49,201
Graham Crack,0.5,200
Med Dt Stw L,1.99,199
Lg Dulce Shk,4.99,198
Mini Turtle,3.19,198
Croiss Must,2.99,196
Med Sonic Sp,1.79,196
Sm CookDgh C,4.29,196
CB Zst Mont,4.79,195
Lg Car Brwn,5.79,195
Lg WtrmnCrm,4.59,194
Lg Iced Coff,2.99,193
Mini Popping,4.79,193
Sm Blast,3.59,193
Make Thick,0.0,192
PB Cream,0.2,191
"12"" Coney Cm",0.0,189
Med Oreo Cr,4.09,189
Rt Fresh Frt,2.89,189
Lg PB Snick,5.79,188
Mini Stw Lim,1.89,188
Mini BanCPie,2.49,187
Fish Sand,3.89,186
Md CustConcr,5.09,184
No Salt/Pep,0.0,183
Sm Frz Stw L,1.59,183
Phi Stk,1.0,182
Lg Cok Dgh S,4.59,180
BW Asian 6 C,-0.21,179
Lg Vanilla M,4.59,178
Med Crml Chi,3.19,178
Sm Rainbow S,1.39,178
BBQ Wing Sau,0.0,177
Lg Brn Blss,5.79,177
Free Hot Dog,0.0,176
Mini Dt Coke,1.0,176
Lg Nerd Grp,3.19,175
Mini Ban Spl,3.19,175
BW Habanero,17.79,174
Med Oreo Ck,4.09,172
"6"" Dog Bun",0.0,171
Chk Nugget 6,-0.38,171
Lg OreoDkCh,6.09,171
Mini WafBerr,3.19,171
Sm Frz Chr L,1.59,171
